task_id,mcp_ids
64,"[743, 59, 741, 742, 1, 2, 4, 7, 9, 10]"
65,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 4012, 790, 24]"
66,"[1767, 2287, 2355, 2542, 4764, 5544, 5554, 5029, 657, 775, 560, 4492, 392]"
67,"[5018, 209, 439, 718, 1201, 1762, 2412, 3185, 3490, 5213, 1048, 4155, 2578]"
68,"[247, 260, 1376, 2302, 4702, 4721, 741, 797, 858, 1213, 641]"
69,"[2126, 3409, 3517, 2134, 3604, 460, 1057, 2029, 5547, 5548, 119]"
70,"[4571, 376, 2386, 16, 402, 2568, 3451, 4967, 1735, 2304, 239, 1194, 15, 5032, 4196]"
71,"[266, 1309, 2797, 4796, 2793, 5041, 15, 225, 367, 459]"
72,"[104, 651, 3709, 1711, 226, 2084, 136, 137, 5088, 1878, 5295, 4798]"
73,"[369, 1764, 1921, 1748, 4311, 488, 685, 3826, 1420, 1481, 5032, 4196]"
74,"[369, 1764, 1921, 1748, 4311, 488, 685, 3826, 1420, 1481, 1824]"
75,"[4814, 3335, 4775, 3974, 61, 1315, 2828, 3633, 2158, 968]"
76,"[167, 1376, 2064, 5333, 21, 168, 505, 752, 765, 1769, 560, 633, 1616, 4371, 5614, 4568, 239, 2856]"
77,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 4828, 92, 1423, 1537, 2287, 3397, 2822, 3279]"
78,"[4137, 4499, 1, 2, 4, 7, 9, 10, 11, 14, 5443, 4403, 5336, 905, 4803]"
79,"[5159, 311, 1296, 1589, 3157, 3978, 3981, 4798, 5295, 1208, 3324, 921, 277, 4957, 4004, 3021, 235]"
80,"[633, 2448, 1309, 634, 635, 638, 4056, 5122, 579, 3041]"
81,"[3335, 4814, 4775, 3974, 61, 1315, 2828, 3633, 2158, 968, 3634]"
82,"[2357, 4419, 819, 1857, 5259, 3087, 976, 739, 156, 1400, 5032, 4196]"
83,"[5018, 579, 5185, 5290, 1689, 2187, 1400, 2765, 4021, 2213, 687, 3668, 4143, 3174, 1208, 4386, 1616, 5258]"
84,"[633, 2448, 1309, 634, 635, 638, 4056, 5122, 579, 3041]"
85,"[4646, 527, 1480, 706, 3982, 53, 3590, 1674, 4645, 4776, 4327, 196, 324, 2327]"
86,"[2845, 5, 2518, 1196, 1199, 867, 3700, 4046, 267, 932, 207, 1073]"
87,"[3335, 4814, 4775, 3974, 61, 1315, 2828, 3633, 2158, 968, 3634, 731]"
88,"[633, 2448, 1309, 634, 635, 638, 4056, 5122, 579, 3041]"
89,"[1767, 2287, 2355, 2542, 4764, 5544, 5554, 5029, 657, 775, 921, 560, 4492, 392]"
90,"[3507, 3043, 3042, 5319, 470, 895, 1541, 4474, 5113, 5321, 5588, 5581, 3200, 5592, 2438, 5081]"
91,"[3375, 743, 4314, 5, 13, 16, 17, 19, 21, 22, 1197, 5182, 2357]"
92,"[104, 651, 3709, 1711, 226, 2084, 136, 137, 5088, 1878, 3162, 2816]"
93,"[247, 260, 1376, 2302, 4702, 4721, 741, 797, 858, 1213, 4197, 1018, 3729, 2905, 1125, 337, 3158, 248]"
94,"[3335, 4814, 4775, 61, 3974, 1315, 2828, 3633, 2158, 968, 3634]"
95,"[490, 4948, 575, 4784, 486, 627, 1231, 1436, 3024, 3348, 3277, 3077, 1263, 5506, 2266, 4052]"
96,"[4646, 527, 1480, 3982, 5592, 706, 3590, 1674, 5581, 4776, 4327, 196, 324, 2327, 5593]"
97,"[5159, 311, 1296, 1589, 3157, 3981, 4798, 5295, 3978, 1208, 2892, 1045]"
98,"[104, 651, 3709, 1711, 136, 137, 226, 2084, 5088, 1878, 2816]"
99,"[4571, 376, 2386, 16, 402, 1735, 2568, 3451, 4967, 4263, 239, 15]"
100,"[5018, 5185, 579, 5290, 1689, 2187, 1400, 2213, 3068, 4021, 4919, 2438, 118, 911]"
101,"[247, 260, 4721, 1376, 2302, 4702, 1213, 2265, 4648, 741, 1491]"
102,"[325, 1216, 5450, 4213, 5588, 5590, 31, 504, 846, 1019, 1349, 5182, 5592, 5593, 3459, 5460, 3076, 597]"
103,"[2799, 3397, 3902, 4653, 5238, 5239, 902, 903, 931, 1367, 1917, 4669, 4521, 2854, 477, 3884, 259, 1364]"
104,"[1037, 902, 903, 931, 1367, 2103, 2104, 2105, 2106, 2107, 214]"
105,"[5018, 209, 718, 1201, 1762, 3185, 5213, 439, 2412, 3490, 1048]"
106,"[4646, 527, 1480, 706, 3982, 53, 3590, 1674, 4645, 4776, 4453, 4276, 1307, 5070, 5593]"
107,"[2651, 1740, 1763, 2019, 1354, 4776, 918, 427, 913, 2461, 325]"
108,"[5233, 5217, 5210, 5213, 5212, 3654, 5234, 5235, 5236, 663, 365]"
109,"[4137, 4499, 2418, 148, 1164, 3737, 356, 2397, 1909, 2718, 4403, 5336, 905, 1757, 4310, 1902, 1977, 5475]"
110,"[613, 961, 2121, 2122, 2123, 612, 2456, 173, 757, 1203, 2550, 2892, 5457, 24, 1363]"
111,"[266, 1309, 2797, 4796, 2793, 5041, 15, 225, 367, 459]"
112,"[3375, 4314, 743, 1, 2, 4, 7, 9, 10, 11, 5443]"
113,"[266, 1309, 4796, 2797, 2793, 5041, 15, 225, 774, 1013]"
114,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 92, 4828, 5145]"
115,"[490, 4948, 575, 486, 4784, 1231, 3348, 627, 1436, 3024, 5295, 4798]"
116,"[4624, 822, 3902, 353, 2750, 2751, 3657, 4400, 4626, 4622, 2752, 5182]"
117,"[34, 2561, 4798, 5295, 1415, 2352, 3941, 4969, 3716, 81, 3655, 2719, 2438]"
118,"[613, 961, 2121, 2122, 2123, 612, 2456, 1208, 173, 757, 1491]"
119,"[2813, 1879, 409, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 2851, 3943, 1391, 1684, 5110, 4188, 3643, 1817]"
120,"[1650, 115, 251, 2214, 2636, 3699, 5586, 5128, 265, 323, 1364, 3543]"
121,"[1545, 2782, 4263, 4899, 324, 3571, 1, 2, 4, 7]"
122,"[2357, 4419, 819, 5259, 1857, 3087, 976, 739, 156, 1400, 1491]"
123,"[325, 1216, 5450, 4213, 5588, 5590, 31, 504, 846, 1019, 1185, 1349, 5592, 5593, 3459]"
124,"[1527, 5608, 6, 8, 64, 70, 87, 124, 127, 128, 5593]"
125,"[1767, 2287, 2355, 2542, 4764, 5544, 5554, 5029, 657, 775, 3656, 368, 560, 4800, 3393, 1616, 1403, 1627]"
126,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 92, 4828, 1423, 1537, 2287, 3397, 2822, 3279]"
127,"[116, 429, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 4164]"
128,"[1545, 2782, 4263, 4899, 324, 3571, 61, 103, 263, 402, 2438, 5182]"
129,"[2126, 3409, 3517, 2134, 3604, 460, 1057, 2029, 5547, 5548, 4942, 119]"
130,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
131,"[1037, 1, 2, 4, 7, 9, 10, 11, 14, 15, 214]"
132,"[4624, 822, 3902, 4400, 353, 2750, 2751, 3657, 4626, 4622, 5032, 4196]"
133,"[2430, 2441, 630, 3410, 5559, 4499, 428, 632, 678, 825, 4155, 2578]"
134,"[4624, 822, 3902, 3657, 4400, 353, 2750, 2751, 4626, 4622, 110, 953, 2526]"
135,"[4646, 527, 1480, 706, 3982, 53, 3590, 1674, 4645, 4776, 4327, 196, 324, 2327]"
136,"[34, 2561, 4798, 5295, 1415, 2352, 3941, 4969, 3716, 371, 1808, 3655]"
137,"[1527, 5608, 902, 903, 931, 1367, 2103, 2104, 2105, 2106, 5593]"
138,"[369, 1764, 1921, 1748, 4311, 685, 488, 3826, 1420, 1481, 5581, 1824, 5592]"
139,"[4898, 1290, 3271, 5, 13, 16, 17, 19, 21, 22]"
140,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 1055, 4143, 4386, 4893]"
141,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
142,"[1650, 5586, 115, 251, 2214, 2636, 3699, 5128, 704, 707]"
143,"[247, 260, 4702, 4721, 1376, 2302, 858, 1213, 2265, 2600, 3656, 368, 4800, 3393, 1616, 1403, 1627, 3666]"
144,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 92, 4828, 1423, 1537, 2287, 3397, 2822, 3279]"
145,"[5018, 209, 439, 718, 1201, 1762, 2412, 3185, 3490, 5213, 1364]"
146,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 92, 4828, 3397, 2822, 4143, 1423, 1537, 4386, 2287, 3279]"
147,"[630, 2430, 2441, 3410, 5559, 4499, 428, 632, 4056, 4785, 1194, 2735, 211, 2651, 5445, 2690, 2470, 4197]"
148,"[2651, 1740, 1763, 1354, 2019, 4776, 918, 427, 913, 1667, 5455, 3200, 1369, 5450, 597, 5203, 994, 2636]"
149,"[1527, 5608, 1, 2, 4, 7, 9, 10, 11, 14, 5593]"
150,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
151,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
152,"[167, 1376, 2064, 5333, 21, 168, 505, 752, 765, 1769, 4143, 4386, 1534, 3123, 1415]"
153,"[4653, 5238, 5239, 2799, 3397, 3902, 1, 2, 4, 7, 1491, 3588, 1364]"
154,"[167, 1376, 2064, 5333, 21, 168, 505, 752, 765, 1769, 560, 2456, 612, 4371, 1610, 4467, 239, 2856]"
155,"[1545, 2782, 4263, 4899, 324, 3571, 1, 2, 4, 7, 4584, 2450]"
156,"[34, 2561, 4798, 5295, 1415, 2352, 3941, 4969, 3716, 81, 5614, 4106, 252]"
157,"[116, 429, 436, 5641, 3817, 434, 463, 2152, 3243, 3657, 4164]"
158,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
159,"[5233, 5217, 5210, 5213, 5212, 3654, 5234, 5235, 5236, 663, 365]"
160,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 4155, 2578, 4077]"
161,"[633, 2448, 1309, 634, 635, 638, 4056, 5122, 579, 3041]"
162,"[5159, 311, 1296, 1589, 3157, 3978, 3981, 4798, 5295, 1208]"
163,"[104, 651, 3709, 1711, 136, 137, 226, 2084, 5088, 1878, 2816]"
164,"[4653, 5238, 5239, 2799, 3397, 3902, 1, 2, 4, 7, 24, 344, 5390, 5389, 2151, 5032, 4196, 5306]"
165,"[613, 961, 2121, 2122, 2123, 612, 2456, 173, 757, 1203, 641]"
166,"[4137, 4499, 902, 903, 931, 1367, 2103, 2104, 2105, 2106, 3656, 1616, 1403, 1627, 580, 4403, 5336, 905]"
167,"[2813, 1879, 409, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 1391, 1684, 5110, 4188, 3643, 1817, 2461]"
168,"[2430, 2441, 630, 3410, 5559, 4499, 428, 632, 678, 825, 5032, 4196]"
169,"[5018, 5185, 579, 5290, 1689, 2187, 1400, 2213, 2765, 3068, 4419, 5182]"
170,"[3375, 4314, 743, 1, 2, 4, 7, 9, 10, 11, 4584, 2450, 5472, 654, 4993]"
171,"[2357, 4419, 819, 1857, 5259, 3087, 976, 739, 156, 1400, 4529, 3774]"
172,"[4571, 376, 2386, 16, 402, 1735, 2568, 3451, 4967, 2304, 239, 1194, 15]"
173,"[1650, 115, 251, 2214, 2636, 3699, 5586, 5128, 265, 323, 3200, 1369, 1363, 3617, 3543, 3193, 1150, 5039]"
174,"[1037, 254, 577, 716, 742, 1018, 1853, 1854, 2220, 2257, 214]"
175,"[5018, 209, 718, 1201, 1762, 3185, 5213, 439, 2412, 3490]"
176,"[5159, 311, 1296, 1589, 3157, 3978, 3981, 4798, 5295, 1208, 2879]"
177,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 731, 1365, 162, 723, 2436, 3582, 4077]"
178,"[743, 59, 741, 742, 61, 103, 263, 402, 407, 410, 5032, 4196]"
179,"[2126, 3409, 3517, 2134, 3604, 1057, 460, 2029, 5547, 5548, 612]"
180,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 4141, 1519, 1027, 2045]"
181,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
182,"[3271, 1290, 4898, 1, 2, 4, 7, 9, 10, 11]"
183,"[2799, 3397, 3902, 4653, 5238, 5239, 902, 903, 931, 1367, 1364, 848, 611, 4476, 3164, 4899, 5147]"
184,"[5233, 5217, 5210, 5213, 5212, 3654, 5234, 5235, 5236, 663, 365, 2991]"
185,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
186,"[167, 2064, 1376, 5333, 21, 4456, 5018, 168, 505, 752, 2194, 4584, 560, 4371]"
187,"[266, 1309, 2797, 4796, 2793, 5041, 2538, 15, 225, 367]"
188,"[1767, 2287, 2355, 2542, 4764, 5544, 5554, 5029, 657, 775, 560, 4012, 790, 4492, 392, 24]"
189,"[630, 2430, 2441, 3410, 5559, 4499, 428, 632, 4056, 4785, 5581, 5592]"
190,"[116, 429, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 4164]"
191,"[743, 59, 741, 742, 146, 204, 245, 251, 272, 394]"
192,"[104, 651, 3709, 1711, 226, 2084, 136, 137, 5088, 1878, 2816]"
193,"[490, 4948, 575, 4784, 486, 627, 1231, 1436, 3024, 3348, 3656, 368, 4800, 3393, 1616, 1403, 1627, 3666]"
194,"[3507, 5319, 3042, 3043, 117, 470, 895, 1541, 4474, 5113, 5081, 5588, 5581, 846]"
195,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 3656, 368, 4800, 3393, 1616, 1403, 1627, 3666]"
196,"[116, 429, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 4164, 4143]"
197,"[633, 2448, 1309, 634, 4056, 635, 638, 5122, 3041, 579]"
198,"[1545, 2782, 4263, 4899, 324, 3571, 1, 2, 4, 7]"
199,"[490, 4948, 575, 4784, 486, 627, 1231, 1436, 3024, 3348, 965, 1185, 4382, 5021, 4764, 2495, 801, 70]"
200,"[4137, 4499, 61, 103, 263, 402, 407, 410, 411, 631, 4403, 5336, 905, 3947, 2461, 516, 5546, 4013]"
201,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
202,"[266, 1309, 2797, 4796, 2793, 5041, 15, 225, 367, 459]"
203,"[244, 2017, 4478, 4799, 1494, 1575, 1628, 2872, 3280, 4991, 214]"
204,"[4137, 4499, 622, 4313, 4454, 5080, 3428, 3271, 3683, 5517, 4166, 4403, 2685, 5336, 905]"
205,"[5018, 209, 718, 1201, 1762, 3185, 5213, 439, 2412, 3490, 1048, 2170, 3857, 5090]"
206,"[1715, 5074, 743, 1670, 4680, 5186, 2266, 2334, 3162, 5139]"
207,"[2598, 4409, 104, 378, 1880, 2218, 651, 3709, 1711, 429]"
208,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 4897]"
209,"[5228, 4948, 183, 326, 4906, 5231, 575, 4784, 627, 1231, 5593]"
210,"[5133, 2515, 1801, 3886, 5282, 4608, 188, 92, 4828, 1423]"
211,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
212,"[1545, 2782, 4263, 4899, 324, 3571, 902, 903, 931, 1367, 5559, 3053]"
213,"[5228, 4948, 183, 326, 4906, 5231, 575, 4784, 627, 1231, 2851, 1420, 2107, 5139]"
214,"[1545, 2782, 4263, 4899, 324, 3571, 1, 2, 4, 7, 5593]"
215,"[2448, 2357, 4419, 819, 1857, 5259, 3087, 976, 739, 156, 131]"
216,"[2121, 2122, 2123, 612, 2456, 49, 277, 679, 2749, 5247, 5049]"
217,"[633, 2448, 1309, 634, 635, 638, 4056, 5122, 579, 3041]"
218,"[1037, 902, 903, 931, 1367, 2103, 2104, 2105, 2106, 2107, 214]"
219,"[4571, 2386, 16, 402, 1735, 2568, 3451, 4967, 2304, 4263, 239, 15, 1194]"
220,"[1650, 5586, 115, 251, 2214, 2636, 3699, 5128, 704, 707, 3617, 3543, 3193, 5039, 5592, 5593, 3200, 5203]"
221,"[325, 1216, 5450, 4213, 5588, 5590, 5234, 31, 504, 846, 4584]"
222,"[5018, 579, 5185, 5290, 1689, 2187, 1400, 2213, 2765, 3068, 4919]"
223,"[3271, 1290, 4898, 1, 2, 4, 7, 9, 10, 11]"
224,"[1650, 115, 251, 2214, 2636, 3699, 5586, 5128, 265, 323, 2684]"
225,"[5159, 1589, 3157, 311, 1296, 5018, 3019, 2517, 2530, 1208, 351, 2926, 1765]"
226,"[4137, 4499, 3486, 2084, 3398, 4008, 374, 5024, 3684, 4897, 4403, 244]"
227,"[3271, 1290, 4898, 1, 2, 4, 7, 9, 10, 11, 3125]"
228,"[3335, 4814, 4775, 3974, 61, 1315, 2828, 3633, 2158, 968]"
229,"[1650, 115, 251, 2214, 2636, 3699, 5586, 5128, 265, 323, 214, 846, 5583, 5593]"
230,"[266, 1309, 2797, 4796, 5041, 2793, 459, 782, 797, 962]"
231,"[616, 2430, 2441, 4499, 1390, 1936, 3588, 428, 4056, 4785, 4897, 5204]"
232,"[2845, 5, 2518, 1196, 1199, 867, 3700, 4046, 267, 932, 2389, 4919, 1073]"
233,"[2813, 1879, 409, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 4584]"
234,"[2598, 4409, 104, 378, 1880, 2218, 651, 3709, 1711, 429, 2816]"
235,"[4646, 706, 3982, 53, 1674, 4645, 4903, 5397, 324, 4527, 4327, 196, 418, 2327]"
236,"[2448, 2357, 4419, 819, 1857, 5259, 3087, 976, 739, 156, 5440, 2851, 1420, 2107]"
237,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 4166, 2685]"
238,"[266, 4796, 2797, 2793, 5041, 15, 225, 774, 1013, 1102, 1309]"
239,"[616, 2441, 2430, 1390, 1936, 3588, 428, 632, 678, 825, 4897]"
240,"[116, 429, 436, 5641, 3817, 434, 463, 2152, 3243, 3657, 4164]"
241,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
242,"[369, 1748, 1764, 4311, 843, 4012, 5372, 488, 685, 3826, 1824]"
243,"[3507, 3042, 3043, 5319, 117, 470, 895, 1541, 4474, 5113, 5583]"
244,"[244, 2017, 4478, 4799, 1494, 1575, 1628, 2872, 3280, 4991, 616, 560, 3826, 4312, 1917, 4669, 4492, 5029]"
245,"[4646, 706, 3982, 53, 1674, 4645, 4903, 5397, 4527, 474, 4327, 196, 324, 2327]"
246,"[4571, 16, 402, 1735, 2568, 3451, 4967, 2304, 5373, 41, 239, 15, 1194]"
247,"[4624, 822, 3902, 2279, 5360, 3091, 4622, 1917, 4627, 2749, 591]"
248,"[2799, 3397, 3902, 4653, 5238, 5239, 45, 336, 343, 592, 4316, 1950, 3790]"
249,"[1527, 5608, 254, 577, 716, 742, 1018, 1853, 1854, 2220, 5593]"
250,"[247, 260, 1376, 2302, 4702, 4721, 741, 797, 858, 1213, 5593]"
251,"[4571, 16, 402, 1735, 2568, 3451, 4967, 2304, 5373, 41, 15, 239]"
252,"[116, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 3243, 4164]"
253,"[167, 2072, 3249, 3710, 3254, 2004, 1533, 1376, 2064, 5333, 1424, 1657, 1656, 4793, 4052, 505, 560, 170]"
254,"[3335, 4814, 4775, 3974, 61, 1315, 2828, 3633, 2158, 968, 3634]"
255,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 1954, 5049, 326, 4906, 1239]"
256,"[369, 1748, 1764, 4311, 5372, 843, 4012, 488, 685, 3826, 1824]"
257,"[5228, 4948, 183, 326, 4906, 5231, 575, 4784, 627, 1231, 3170]"
258,"[1715, 5074, 743, 1670, 2266, 2334, 3162, 4680, 5139, 5186]"
259,"[3507, 3042, 3043, 5319, 117, 470, 895, 1541, 4474, 5113, 5588, 5581, 5373, 5583, 5081, 471, 994, 5592]"
260,"[1037, 1182, 3007, 175, 4497, 3520, 2341, 3282, 2776, 5016, 214]"
261,"[5213, 209, 439, 718, 1201, 1762, 2412, 3185, 3490, 5319, 1048, 5018]"
262,"[3507, 3042, 3043, 117, 470, 895, 1541, 4474, 5113, 5321, 5583, 5581]"
263,"[1436, 3024, 3348, 486, 4128, 254, 577, 716, 742, 1018, 3787, 5139, 2851, 1420, 717]"
264,"[4298, 441, 3691, 2769, 4325, 322, 5629, 2356, 2461, 4111]"
265,"[59, 741, 742, 5, 13, 17, 19, 21, 22, 25, 743]"
266,"[1290, 4898, 6, 8, 64, 70, 87, 124, 127, 128]"
267,"[34, 2561, 3716, 4798, 5295, 81, 371, 2339, 2889, 3711, 4987, 797]"
268,"[2799, 3397, 3902, 4653, 5238, 5239, 5, 13, 17, 19, 5373, 2129, 476, 1421, 3235, 2900, 128, 5240]"
269,"[5185, 579, 5290, 1689, 2187, 1400, 2213, 2765, 3068, 4021, 4919]"
270,"[2598, 4409, 104, 378, 1880, 2218, 651, 3709, 1711, 434, 2816]"
271,"[1904, 2134, 3604, 2126, 3409, 460, 1057, 2029, 5547, 5548, 3170]"
